pi1,pi2,pi3,pi4,pi5,pi6,pi7,pi8,pi9,pi10,ci1,ci2,ci3,ci4,ci5,ci6,ci7,ci8,ci9,ci10
0.00E+00,-1.00E-06,0.00E+00,0.00E+00,-1.00E-06,1.10E-05,-4.00E-06,-2.52E-01,3.28E-03,1.39E+00,0.00E+00,0.00E+00,1.00E-06,-1.00E-06,-7.00E-06,5.00E-06,1.20E-05,4.57E-01,1.49E+00,1.24E+00
0.00E+00,-1.00E-06,1.00E-06,0.00E+00,-4.00E-06,5.00E-06,1.50E-05,4.78E-01,4.31E-01,1.07E+00,0.00E+00,0.00E+00,1.00E-06,-1.00E-06,-7.00E-06,5.00E-06,1.20E-05,4.57E-01,1.49E+00,1.24E+00
0.00E+00,-1.00E-06,1.00E-06,0.00E+00,-4.00E-06,5.00E-06,1.50E-05,4.78E-01,4.31E-01,1.07E+00,0.00E+00,-1.00E-06,0.00E+00,0.00E+00,0.00E+00,8.00E-06,-3.00E-06,-2.05E-01,-2.36E-01,9.50E-01
0.00E+00,-1.00E-06,0.00E+00,0.00E+00,-1.00E-06,1.10E-05,-4.00E-06,-2.52E-01,3.28E-03,1.39E+00,0.00E+00,-1.00E-06,0.00E+00,0.00E+00,-2.00E-06,9.00E-06,1.00E-06,-2.51E-02,3.97E-01,1.26E+00
0.00E+00,-1.00E-06,1.00E-06,0.00E+00,-1.00E-06,6.00E-06,1.20E-05,3.20E-01,-3.10E-01,9.66E-01,0.00E+00,1.00E-06,-1.00E-06,-1.00E-06,-2.00E-06,1.00E-06,-1.10E-05,-3.01E-01,9.60E-01,1.79E-01
0.00E+00,-2.00E-06,2.00E-06,0.00E+00,-3.00E-06,5.00E-06,2.40E-05,7.33E-01,-1.69E-01,1.06E+00,0.00E+00,1.00E-06,0.00E+00,-1.00E-06,-5.00E-06,0.00E+00,7.00E-06,3.24E-01,1.28E+00,4.72E-01
0.00E+00,-1.00E-06,1.00E-06,0.00E+00,-1.00E-06,6.00E-06,1.20E-05,3.20E-01,-3.10E-01,9.66E-01,0.00E+00,1.00E-06,0.00E+00,-1.00E-06,-4.00E-06,-1.00E-06,3.00E-06,2.15E-01,1.22E+00,1.92E-01
0.00E+00,-1.00E-06,0.00E+00,0.00E+00,2.00E-06,6.00E-06,-9.00E-06,-4.24E-01,-6.58E-01,4.85E-01,0.00E+00,1.00E-06,-1.00E-06,-1.00E-06,-2.00E-06,1.00E-06,-1.10E-05,-3.01E-01,9.60E-01,1.79E-01
0.00E+00,-1.00E-06,1.00E-06,0.00E+00,-4.00E-06,5.00E-06,1.50E-05,4.78E-01,4.31E-01,1.07E+00,0.00E+00,-2.00E-06,1.00E-06,0.00E+00,0.00E+00,8.00E-06,2.00E-06,-6.89E-02,-3.15E-01,1.06E+00
0.00E+00,-1.00E-06,1.00E-06,0.00E+00,-1.00E-06,6.00E-06,1.20E-05,3.20E-01,-3.10E-01,9.66E-01,0.00E+00,-1.00E-06,0.00E+00,0.00E+00,0.00E+00,8.00E-06,-3.00E-06,-2.05E-01,-2.36E-01,9.50E-01
0.00E+00,-1.00E-06,1.00E-06,0.00E+00,-1.00E-06,6.00E-06,1.20E-05,3.20E-01,-3.10E-01,9.66E-01,0.00E+00,-1.00E-06,0.00E+00,0.00E+00,0.00E+00,8.00E-06,-3.00E-06,-2.05E-01,-2.36E-01,9.50E-01
0.00E+00,-1.00E-06,1.00E-06,0.00E+00,-4.00E-06,5.00E-06,1.50E-05,4.78E-01,4.31E-01,1.07E+00,0.00E+00,-2.00E-06,1.00E-06,0.00E+00,0.00E+00,8.00E-06,2.00E-06,-6.89E-02,-3.15E-01,1.06E+00
0.00E+00,-1.00E-06,1.00E-06,0.00E+00,-1.00E-06,6.00E-06,1.20E-05,3.20E-01,-3.10E-01,9.66E-01,0.00E+00,1.00E-06,-1.00E-06,-1.00E-06,-2.00E-06,1.00E-06,-1.10E-05,-3.01E-01,9.60E-01,1.79E-01
0.00E+00,-2.00E-06,2.00E-06,0.00E+00,-3.00E-06,5.00E-06,2.40E-05,7.33E-01,-1.69E-01,1.06E+00,0.00E+00,-1.00E-06,0.00E+00,0.00E+00,0.00E+00,8.00E-06,-3.00E-06,-2.05E-01,-2.36E-01,9.50E-01
0.00E+00,-1.00E-06,0.00E+00,0.00E+00,2.00E-06,6.00E-06,-9.00E-06,-4.24E-01,-6.58E-01,4.85E-01,0.00E+00,-1.00E-06,0.00E+00,0.00E+00,0.00E+00,8.00E-06,-3.00E-06,-2.05E-01,-2.36E-01,9.50E-01
0.00E+00,-1.00E-06,1.00E-06,0.00E+00,-4.00E-06,5.00E-06,1.50E-05,4.78E-01,4.31E-01,1.07E+00,0.00E+00,1.00E-06,0.00E+00,-1.00E-06,-5.00E-06,0.00E+00,7.00E-06,3.24E-01,1.28E+00,4.72E-01
0.00E+00,-1.00E-06,1.00E-06,0.00E+00,-1.00E-06,6.00E-06,1.20E-05,3.20E-01,-3.10E-01,9.66E-01,0.00E+00,-2.00E-06,1.00E-06,0.00E+00,0.00E+00,8.00E-06,2.00E-06,-6.89E-02,-3.15E-01,1.06E+00
0.00E+00,-1.00E-06,1.00E-06,0.00E+00,-1.00E-06,6.00E-06,1.20E-05,3.20E-01,-3.10E-01,9.66E-01,0.00E+00,1.00E-06,-1.00E-06,-1.00E-06,-2.00E-06,1.00E-06,-1.10E-05,-3.01E-01,9.60E-01,1.79E-01
0.00E+00,-1.00E-06,1.00E-06,0.00E+00,-4.00E-06,5.00E-06,1.50E-05,4.78E-01,4.31E-01,1.07E+00,0.00E+00,1.00E-06,-1.00E-06,-1.00E-06,-2.00E-06,1.00E-06,-1.10E-05,-3.01E-01,9.60E-01,1.79E-01
0.00E+00,-1.00E-06,1.00E-06,0.00E+00,-4.00E-06,5.00E-06,1.50E-05,4.78E-01,4.31E-01,1.07E+00,0.00E+00,1.00E-06,0.00E+00,-1.00E-06,-4.00E-06,-1.00E-06,3.00E-06,2.15E-01,1.22E+00,1.92E-01
0.00E+00,-1.00E-06,1.00E-06,0.00E+00,-1.00E-06,6.00E-06,1.20E-05,3.20E-01,-3.10E-01,9.66E-01,0.00E+00,-1.00E-06,0.00E+00,0.00E+00,-2.00E-06,9.00E-06,1.00E-06,-2.51E-02,3.97E-01,1.26E+00
0.00E+00,-1.00E-06,0.00E+00,0.00E+00,-1.00E-06,1.10E-05,-4.00E-06,-2.52E-01,3.28E-03,1.39E+00,0.00E+00,-2.00E-06,1.00E-06,0.00E+00,0.00E+00,8.00E-06,2.00E-06,-6.89E-02,-3.15E-01,1.06E+00